,country,date,confirm_add,confirm,heal,dead
0,伊朗,02.19,2,2,0,0
1,伊朗,02.20,3,5,0,2
2,伊朗,02.21,13,18,0,4
3,伊朗,02.22,10,28,0,4
4,伊朗,02.23,15,43,0,8
5,伊朗,02.24,0,61,0,12
6,伊朗,02.25,35,95,0,16
7,伊朗,02.26,44,139,0,19
8,伊朗,02.27,106,245,49,26
9,伊朗,02.28,143,388,49,34
10,伊朗,02.29,205,593,123,43
11,伊朗,03.01,0,593,123,43
12,伊朗,03.02,908,1501,175,66
13,伊朗,03.03,835,2336,435,77
14,伊朗,03.04,586,2922,435,92
15,伊朗,03.05,591,3513,435,107
16,伊朗,03.06,1234,4747,739,124
17,伊朗,03.07,1067,5823,739,145
18,伊朗,03.08,743,6566,2134,194
19,伊朗,03.09,1338,7161,2394,237
20,伊朗,03.10,881,8042,2731,291
21,伊朗,03.11,958,9000,2959,354
22,伊朗,03.12,1075,10075,3276,429
23,伊朗,03.13,1289,11364,3529,514
24,伊朗,03.14,1365,12729,4339,611
25,伊朗,03.15,2574,13938,4590,724
26,伊朗,03.16,1053,14991,4996,853
27,伊朗,03.17,1178,16169,5389,988
28,伊朗,03.18,1192,17361,5710,1135
29,伊朗,03.19,1046,18407,5979,1284
30,伊朗,03.20,1237,19644,6745,1433
31,伊朗,03.21,966,20610,7635,1556
32,伊朗,03.22,1028,21638,7913,1685
33,伊朗,03.23,1411,23049,8376,1812
34,伊朗,03.24,1762,24811,8913,1934
35,伊朗,03.25,2206,27017,9625,2077
36,伊朗,03.26,2389,29406,10457,2234
37,伊朗,03.27,2926,32332,11133,2378
38,伊朗,03.28,3076,35408,11679,2517
39,伊朗,03.29,2901,38309,12391,2640
40,伊朗,03.30,3186,41495,13911,2757
41,伊朗,03.31,3111,44606,14656,2898
42,伊朗,04.01,2987,47593,15473,3036
43,伊朗,04.02,2875,50468,16711,3160
44,伊朗,04.03,2715,53183,17935,3294
45,伊朗,04.04,2560,55743,19736,3452
46,伊朗,04.05,2483,58226,19736,3603
47,伊朗,04.06,2274,60500,24236,3739
48,伊朗,04.07,2089,62589,27039,3872
49,伊朗,04.08,1997,64586,27039,3993
50,伊朗,04.09,1634,66220,32309,4110
51,伊朗,04.10,1972,68192,35465,4232
52,伊朗,04.11,1837,70029,41947,4357
53,伊朗,04.12,1657,71686,43894,4474
54,伊朗,04.13,1617,73303,45983,4585
55,伊朗,04.14,1574,74877,48129,4683
56,伊朗,04.15,1512,76389,49933,4777
57,伊朗,04.16,1606,77995,52229,4869
58,伊朗,04.17,1499,79494,54064,4958
59,伊朗,04.18,1374,80868,55987,5031
60,伊朗,04.19,1343,82211,57023,5118
61,伊朗,04.20,1294,83505,59273,5209
62,伊朗,04.21,1297,84802,60965,5297
63,伊朗,04.22,1194,85996,63113,5391
64,伊朗,04.23,1030,87026,64843,5481
65,伊朗,04.24,1168,88194,66599,5574
66,伊朗,04.25,1134,89328,68193,5650
67,伊朗,04.26,1153,90481,69657,5710
68,伊朗,04.27,991,91472,70933,5806
69,伊朗,04.28,1112,92584,72439,5877
70,伊朗,04.29,1073,93657,73791,5957
71,伊朗,04.30,983,94640,75103,6028
72,伊朗,05.01,1006,95646,76318,6091
73,伊朗,05.02,802,96448,77350,6156
74,伊朗,05.03,0,96448,77350,6156
75,伊朗,05.04,2199,98647,79379,6277
76,伊朗,05.05,1323,99970,80475,6340
77,伊朗,05.06,1680,101650,81587,6418
78,伊朗,05.07,1485,103135,82744,6486
79,伊朗,05.08,1556,104691,83837,6541
80,伊朗,05.09,1529,106220,85064,6589
81,伊朗,05.10,1383,107603,86143,6640
82,伊朗,05.11,1683,109286,87422,6685
83,伊朗,05.12,1481,110767,88357,6733
84,伊朗,05.13,1958,112725,89428,6783
85,伊朗,05.14,1808,114533,90539,6854
86,伊朗,05.15,2102,116635,91836,6902
87,伊朗,05.16,1757,118392,93147,6937
88,伊朗,05.17,1806,120198,94464,6988
89,伊朗,05.18,2294,122492,95661,7057
90,伊朗,05.19,2111,124603,97173,7119
91,伊朗,05.20,2346,126949,98808,7183
92,伊朗,05.21,2392,129341,100564,7249
93,伊朗,05.22,2311,131652,102276,7300
94,伊朗,05.23,1869,133521,104072,7359
95,伊朗,05.24,2180,135701,105801,7417
96,伊朗,05.25,2023,137724,107713,7451
97,伊朗,05.26,1787,139511,109437,7508
98,伊朗,05.27,2080,141591,111176,7564
99,伊朗,05.28,2258,143849,112988,7627
100,伊朗,05.29,2819,146668,114931,7677
