,country,date,confirm_add,confirm,heal,dead
0,加拿大,01.28,0,2,0,0
1,加拿大,01.29,0,2,0,0
2,加拿大,01.30,1,3,1,0
3,加拿大,01.31,0,3,1,0
4,加拿大,02.01,1,4,0,0
5,加拿大,02.02,0,4,0,0
6,加拿大,02.03,0,4,0,0
7,加拿大,02.04,0,4,0,0
8,加拿大,02.05,1,5,0,0
9,加拿大,02.06,0,5,0,0
10,加拿大,02.07,0,5,0,0
11,加拿大,02.08,0,5,0,0
12,加拿大,02.09,2,7,0,0
13,加拿大,02.10,0,7,0,0
14,加拿大,02.11,0,7,0,0
15,加拿大,02.12,0,7,0,0
16,加拿大,02.13,0,7,0,0
17,加拿大,02.14,0,7,0,0
18,加拿大,02.15,1,8,1,0
19,加拿大,02.16,0,8,1,0
20,加拿大,02.17,0,8,1,0
21,加拿大,02.18,0,8,1,0
22,加拿大,02.19,0,8,1,0
23,加拿大,02.20,0,8,1,0
24,加拿大,02.21,0,8,3,0
25,加拿大,02.22,0,8,3,0
26,加拿大,02.23,0,8,3,0
27,加拿大,02.24,2,10,4,0
28,加拿大,02.25,1,11,4,0
29,加拿大,02.26,0,11,4,0
30,加拿大,02.27,1,12,4,0
31,加拿大,02.28,2,14,4,0
32,加拿大,02.29,2,16,4,0
33,加拿大,03.01,4,20,4,0
34,加拿大,03.02,4,24,7,0
35,加拿大,03.03,3,27,7,0
36,加拿大,03.04,6,33,7,0
37,加拿大,03.05,1,34,7,0
38,加拿大,03.06,14,48,7,0
39,加拿大,03.07,6,54,7,0
40,加拿大,03.08,4,60,7,0
41,加拿大,03.09,6,66,7,0
42,加拿大,03.10,11,77,8,1
43,加拿大,03.11,20,97,8,1
44,加拿大,03.12,21,118,9,1
45,加拿大,03.13,40,158,11,1
46,加拿大,03.14,67,225,11,1
47,加拿大,03.15,28,253,11,1
48,加拿大,03.16,60,313,11,1
49,加拿大,03.17,123,436,11,4
50,加拿大,03.18,161,597,11,8
51,加拿大,03.19,130,727,12,9
52,加拿大,03.20,196,923,12,12
53,加拿大,03.21,223,1146,14,12
54,加拿大,03.22,231,1377,14,19
55,加拿大,03.23,95,1472,14,21
56,加拿大,03.24,619,2091,109,25
57,加拿大,03.25,801,2892,110,35
58,加拿大,03.26,517,3409,183,36
59,加拿大,03.27,634,4043,197,39
60,加拿大,03.28,714,4757,354,55
61,加拿大,03.29,1110,5867,466,63
62,加拿大,03.30,453,6320,466,65
63,加拿大,03.31,1128,7448,1020,89
64,加拿大,04.01,1143,8591,1592,102
65,加拿大,04.02,1140,9731,1526,112
66,加拿大,04.03,1553,11284,1971,139
67,加拿大,04.04,1261,12545,2321,188
68,加拿大,04.05,1855,14400,2770,234
69,加拿大,04.06,1540,15940,3081,281
70,加拿大,04.07,727,16667,3613,323
71,加拿大,04.08,1230,17897,4047,381
72,加拿大,04.09,1393,19290,4646,436
73,加拿大,04.10,1475,20765,5311,510
74,加拿大,04.11,1383,22148,6013,570
75,加拿大,04.12,1569,23717,6650,675
76,加拿大,04.13,663,24380,7172,717
77,加拿大,04.14,1300,25680,7758,780
78,加拿大,04.15,1383,27063,8235,903
79,加拿大,04.16,1316,28379,8979,1010
80,加拿大,04.17,2621,31000,9730,1231
81,加拿大,04.18,1857,32857,10559,1356
82,加拿大,04.19,1529,34386,11216,1520
83,加拿大,04.20,1653,36039,11852,1626
84,加拿大,04.21,1894,37933,12747,1753
85,加拿大,04.22,1472,39405,13605,1915
86,加拿大,04.23,2262,41667,14504,2081
87,加拿大,04.24,1740,43407,15233,2250
88,加拿大,04.25,1778,44526,15479,2386
89,加拿大,04.26,995,45521,16504,2549
90,加拿大,04.27,1645,47166,17408,2663
91,加拿大,04.28,2520,49686,18707,2841
92,加拿大,04.29,1498,51184,19879,2985
93,加拿大,04.30,1681,52865,20327,3155
94,加拿大,05.01,1592,54457,21424,3310
95,加拿大,05.02,1886,56343,22764,3537
96,加拿大,05.03,1583,57926,23795,3684
97,加拿大,05.04,2631,60557,25421,3801
98,加拿大,05.05,1400,61957,26030,4003
99,加拿大,05.06,1258,63215,27006,4190
100,加拿大,05.07,1518,64733,28531,4366
101,加拿大,05.08,1469,66202,29274,4543
102,加拿大,05.09,1527,67729,30632,4697
103,加拿大,05.10,1218,68947,31657,4824
104,加拿大,05.11,1190,70137,32468,4991
105,加拿大,05.12,1157,71294,33267,5116
106,加拿大,05.13,1150,72444,34509,5300
107,加拿大,05.14,1168,73612,35536,5425
108,加拿大,05.15,1218,74830,36541,5592
109,加拿大,05.16,1133,75963,36908,5680
