,国家中,国家英,新增确诊,总确诊,疑似,死亡,治愈,现有确诊,国家中文,国家英文
0,美国,United States,22658,1768461,0,103330,498725,1768461,,
1,巴西,Brazil,26417,438238,0,26754,177604,438238,,
2,俄罗斯,Russia,8572,387623,0,4374,159257,387623,,
3,西班牙,Spain,1137,284986,0,27119,196958,284986,,
4,英国,United Kingdom,1888,270508,0,37919,1167,270508,,
5,意大利,Italy,593,231732,0,33142,150604,231732,,
6,法国,France,3326,186364,0,28665,67309,186364,,
7,德国,Germany,532,182450,0,8472,164080,182450,,
8,印度,India,4322,167442,0,4797,71369,167442,,
9,土耳其,Turkey,1182,160979,0,4461,124369,160979,,
10,伊朗,Iran,0,143849,0,7627,112988,143849,,
11,秘鲁,Peru,5874,141779,0,4099,59442,141779,,
12,加拿大,Canada,961,89976,0,6982,46961,89976,,
13,智利,Chile,4654,86943,0,890,36115,86943,,
14,墨西哥,Mexico,3377,81400,0,9044,56041,81400,,
15,沙特阿拉伯,Saudi Arabia,0,80185,0,441,54553,80185,,
16,巴基斯坦,Pakistan,2801,64028,0,1317,22305,64028,,
17,比利时,Belgium,212,58061,0,9430,15682,58061,,
18,卡塔尔,Qatar,0,50914,0,33,15399,50914,,
19,荷兰,Netherlands,0,46152,0,5922,178,46152,,
20,孟加拉,Bangladesh,2523,42844,0,582,9015,42844,,
21,白俄罗斯,Belarus,0,39858,0,219,16660,39858,,
22,厄瓜多尔,Ecuador,368,38471,0,3313,18425,38471,,
23,瑞典,Sweden,0,35727,0,4266,4971,35727,,
24,新加坡,Singapore,611,33860,0,23,18294,33860,,
25,阿联酋,United Arab Emirates,0,32532,0,258,16685,32532,,
26,葡萄牙,Portugal,0,31596,0,1369,18637,31596,,
27,瑞士,Switzerland,0,30796,0,1919,28300,30796,,
28,南非,South Africa,1466,27403,0,577,14370,27403,,
29,哥伦比亚,Colombia,1302,25406,0,855,6687,25406,,
30,印度尼西亚,Indonesia,678,25216,0,1520,6492,25216,,
31,爱尔兰,Ireland,38,24841,0,1639,22089,24841,,
32,科威特,Kuwait,0,24112,0,185,8698,24112,,
33,波兰,Poland,364,22964,0,1043,10692,22964,,
34,乌克兰,Ukraine,429,22811,0,679,8934,22811,,
35,埃及,Egypt,1127,20793,0,845,5359,20793,,
