,country,date,confirm_add,confirm,heal,dead
0,德国,01.28,0,1,0,0
1,德国,01.29,3,4,0,0
2,德国,01.30,0,4,0,0
3,德国,01.31,2,6,0,0
4,德国,02.01,1,7,0,0
5,德国,02.02,3,10,0,0
6,德国,02.03,0,10,0,0
7,德国,02.04,2,12,0,0
8,德国,02.05,0,12,0,0
9,德国,02.06,0,12,0,0
10,德国,02.07,1,13,0,0
11,德国,02.08,0,13,0,0
12,德国,02.09,1,14,0,0
13,德国,02.10,0,14,0,0
14,德国,02.11,0,14,0,0
15,德国,02.12,2,16,0,0
16,德国,02.13,0,16,0,0
17,德国,02.14,0,16,1,0
18,德国,02.15,0,16,1,0
19,德国,02.16,0,16,1,0
20,德国,02.17,0,16,1,0
21,德国,02.18,0,16,7,0
22,德国,02.19,0,16,7,0
23,德国,02.20,0,16,7,0
24,德国,02.21,0,16,7,0
25,德国,02.22,0,16,7,0
26,德国,02.23,0,16,7,0
27,德国,02.24,0,16,14,0
28,德国,02.25,0,16,14,0
29,德国,02.26,3,19,14,0
30,德国,02.27,8,27,14,0
31,德国,02.28,33,60,14,0
32,德国,02.29,6,66,16,0
33,德国,03.01,51,117,16,0
34,德国,03.02,40,157,16,0
35,德国,03.03,79,196,16,0
36,德国,03.04,44,240,16,0
37,德国,03.05,109,349,16,0
38,德国,03.06,216,565,16,0
39,德国,03.07,88,684,16,0
40,德国,03.08,163,847,18,0
41,德国,03.09,304,1151,18,0
42,德国,03.10,73,1224,18,2
43,德国,03.11,341,1565,18,3
44,德国,03.12,513,2078,25,3
45,德国,03.13,1039,3117,46,7
46,德国,03.14,558,3675,46,8
47,德国,03.15,1467,5142,46,9
48,德国,03.16,2138,5813,46,13
49,德国,03.17,1174,7272,135,17
50,德国,03.18,2810,10082,135,26
51,德国,03.19,3862,13944,135,43
52,德国,03.20,3709,17653,115,44
53,德国,03.21,2446,20099,180,70
54,德国,03.22,3822,23921,266,92
55,德国,03.23,3259,27181,422,113
56,德国,03.24,4189,31370,453,132
57,德国,03.25,3983,35353,3243,181
58,德国,03.26,4219,39572,3547,224
59,德国,03.27,3639,43211,5678,262
60,德国,03.28,10129,53340,6658,399
61,德国,03.29,4907,58247,8481,455
62,德国,03.30,5682,63929,9211,560
63,德国,03.31,4251,68180,15824,682
64,德国,04.01,6328,74508,16100,821
65,德国,04.02,7220,81728,19175,997
66,德国,04.03,5516,87244,24575,1138
67,德国,04.04,4806,92050,24575,1295
68,德国,04.05,5024,97074,26400,1478
69,德国,04.06,3112,100186,28700,1590
70,德国,04.07,4013,104199,36081,1842
71,德国,04.08,5130,109329,36081,2096
72,德国,04.09,4286,113615,46300,2349
73,德国,04.10,5786,119401,52407,2607
74,德国,04.11,3454,122855,53913,2736
75,德国,04.12,2979,125834,57400,2886
76,德国,04.13,2082,127916,64300,3022
77,德国,04.14,2518,130434,68200,3220
78,德国,04.15,2119,132553,72600,3528
79,德国,04.16,2996,135549,77000,3850
80,德国,04.17,2907,138456,81800,4193
81,德国,04.18,3869,142325,85400,4403
82,德国,04.19,2023,144348,88000,4547
83,德国,04.20,1395,145743,91500,4642
84,德国,04.21,1850,147593,95200,4869
85,德国,04.22,1451,149044,99400,5127
86,德国,04.23,2131,151175,103300,5354
87,德国,04.24,2409,153584,106800,5577
88,德国,04.25,1834,155418,109800,5802
89,德国,04.26,1608,157026,109800,5880
90,德国,04.27,920,157946,114500,5984
91,德国,04.28,1092,159038,117400,6161
92,德国,04.29,1441,160479,120400,6330
93,德国,04.30,1506,161985,123500,6504
94,德国,05.01,1024,163009,126900,6623
95,德国,05.02,1307,164316,129000,6736
96,德国,05.03,651,164967,129000,6812
97,德国,05.04,778,165745,132700,6866
98,德国,05.05,559,166304,135100,6993
99,德国,05.06,1068,167372,137400,6993
100,德国,05.07,1283,168655,139900,7322
101,德国,05.08,775,169430,141700,7392
102,德国,05.09,1446,170876,143300,7510
103,德国,05.10,663,171539,144400,7549
104,德国,05.11,460,171999,145600,7569
105,德国,05.12,813,172812,147200,7667
106,德国,05.13,734,173546,148700,7780
107,德国,05.14,552,174098,150300,7861
108,德国,05.15,380,174478,151547,7884
109,德国,05.16,1237,175715,151953,7931
110,德国,05.17,654,176369,154011,7958
111,德国,05.18,182,176551,155041,7988
112,德国,05.19,738,177289,155681,8067
113,德国,05.20,861,178150,156966,8136
114,德国,05.21,598,178748,158057,8195
115,德国,05.22,402,179150,159025,8219
116,德国,05.23,637,179787,159681,8256
117,德国,05.24,285,180072,160263,8283
118,德国,05.25,348,180420,161163,8300
119,德国,05.26,382,180802,161599,8329
120,德国,05.27,722,181524,162800,8416
121,德国,05.28,394,181918,163222,8463
122,德国,05.29,641,182559,164120,8481
