,country,date,confirm_add,confirm,heal,dead
0,意大利,01.31,2,2,0,0
1,意大利,02.01,0,2,0,0
2,意大利,02.02,0,2,0,0
3,意大利,02.03,0,2,0,0
4,意大利,02.04,0,2,0,0
5,意大利,02.05,0,2,0,0
6,意大利,02.06,0,2,0,0
7,意大利,02.07,1,3,0,0
8,意大利,02.08,0,3,0,0
9,意大利,02.09,0,3,0,0
10,意大利,02.10,0,3,0,0
11,意大利,02.11,0,3,0,0
12,意大利,02.12,0,3,0,0
13,意大利,02.13,0,3,0,0
14,意大利,02.14,0,3,0,0
15,意大利,02.15,0,3,0,0
16,意大利,02.16,0,3,0,0
17,意大利,02.17,0,3,0,0
18,意大利,02.18,0,3,0,0
19,意大利,02.19,0,3,0,0
20,意大利,02.20,0,3,0,0
21,意大利,02.21,3,6,0,0
22,意大利,02.22,17,20,0,2
23,意大利,02.23,56,132,1,2
24,意大利,02.24,98,230,2,6
25,意大利,02.25,53,283,1,7
26,意大利,02.26,91,374,1,12
27,意大利,02.27,154,528,42,14
28,意大利,02.28,127,655,45,17
29,意大利,02.29,238,888,46,21
30,意大利,03.01,240,1128,50,29
31,意大利,03.02,585,1713,83,41
32,意大利,03.03,373,2086,149,52
33,意大利,03.04,460,2546,160,79
34,意大利,03.05,543,3089,276,107
35,意大利,03.06,838,3927,414,148
36,意大利,03.07,822,4680,523,197
37,意大利,03.08,1332,6012,589,233
38,意大利,03.09,1541,7424,622,366
39,意大利,03.10,1796,9220,724,463
40,意大利,03.11,1063,10283,1004,631
41,意大利,03.12,2179,12462,1045,827
42,意大利,03.13,2923,15385,1258,1016
43,意大利,03.14,2547,17660,1439,1266
44,意大利,03.15,3610,21270,1966,1441
45,意大利,03.16,3590,24747,2335,1809
46,意大利,03.17,3233,27980,2749,2158
47,意大利,03.18,3526,31506,2941,2503
48,意大利,03.19,4949,36455,4025,2978
49,意大利,03.20,5322,41035,4440,3405
50,意大利,03.21,5986,47021,5129,4032
51,意大利,03.22,6557,53578,6072,4825
52,意大利,03.23,5560,59138,7024,5476
53,意大利,03.24,4789,63927,7432,6077
54,意大利,03.25,5249,69176,8326,6820
55,意大利,03.26,5210,74386,9362,7503
56,意大利,03.27,6153,80539,10361,8215
57,意大利,03.28,5959,86498,10950,9134
58,意大利,03.29,5974,92472,12384,10023
59,意大利,03.30,5217,97689,13030,10779
60,意大利,03.31,4050,101739,14620,11591
61,意大利,04.01,4053,105792,15729,12428
62,意大利,04.02,4782,110574,16847,13155
63,意大利,04.03,4668,115242,18278,13915
64,意大利,04.04,4585,119827,19758,14681
65,意大利,04.05,4805,124632,20996,15362
66,意大利,04.06,4316,128948,21815,15887
67,意大利,04.07,3599,132547,22837,16523
68,意大利,04.08,3039,135586,24392,17127
69,意大利,04.09,3836,139422,26491,17669
70,意大利,04.10,4204,143626,28470,18279
71,意大利,04.11,3951,147577,30455,18849
72,意大利,04.12,4694,152271,32534,19468
73,意大利,04.13,4092,156363,34211,19899
74,意大利,04.14,3153,159516,35435,20465
75,意大利,04.15,2972,162488,37130,21067
76,意大利,04.16,2667,165155,38092,21645
77,意大利,04.17,3786,168941,40164,22170
78,意大利,04.18,3493,172434,42727,22745
79,意大利,04.19,3491,175925,44927,23227
80,意大利,04.20,3047,178972,47055,23660
81,意大利,04.21,2256,181228,48877,24114
82,意大利,04.22,2729,183957,51600,24648
83,意大利,04.23,3370,187327,54543,25085
84,意大利,04.24,2646,189973,57576,25549
85,意大利,04.25,3021,192994,60498,25969
86,意大利,04.26,2357,195351,63120,26384
87,意大利,04.27,2324,197675,64928,26644
88,意大利,04.28,1739,199414,66624,26977
89,意大利,04.29,2091,201505,68941,27359
90,意大利,04.30,2086,203591,71252,27682
91,意大利,05.01,1872,205463,75945,27967
92,意大利,05.02,1965,207428,78249,28236
93,意大利,05.03,1900,209328,79914,28710
94,意大利,05.04,1389,210717,81654,28884
95,意大利,05.05,1221,211938,82879,29079
96,意大利,05.06,1075,213013,85231,29315
97,意大利,05.07,1444,214457,93245,29684
98,意大利,05.08,1401,215858,96276,29958
99,意大利,05.09,1327,217185,99023,30201
100,意大利,05.10,1083,218268,103031,30395
101,意大利,05.11,802,219070,105186,30560
102,意大利,05.12,744,219814,106587,30739
103,意大利,05.13,1402,221216,109039,30911
104,意大利,05.14,888,222104,112541,31106
105,意大利,05.15,992,223096,115288,31368
106,意大利,05.16,789,223885,120205,31610
107,意大利,05.17,875,224760,122810,31763
108,意大利,05.18,675,225435,125176,31908
109,意大利,05.19,451,225886,127326,32007
110,意大利,05.20,813,226699,129401,32169
111,意大利,05.21,665,227364,132282,32330
112,意大利,05.22,642,228006,134560,32486
113,意大利,05.23,652,228658,136720,32616
114,意大利,05.24,669,229327,138840,32735
115,意大利,05.25,531,229858,140479,32785
116,意大利,05.26,300,230158,141981,32877
117,意大利,05.27,397,230555,144658,32955
118,意大利,05.28,584,231139,147101,33072
119,意大利,05.29,593,231732,150604,33142
