,country,date,confirm_add,confirm,heal,dead
0,日本本土,01.28,0,7,1,0
1,日本本土,01.29,1,8,1,0
2,日本本土,01.30,5,13,1,0
3,日本本土,01.31,4,17,1,0
4,日本本土,02.01,3,20,1,0
5,日本本土,02.02,0,20,1,0
6,日本本土,02.03,0,20,1,0
7,日本本土,02.04,2,22,1,0
8,日本本土,02.05,2,24,1,0
9,日本本土,02.06,1,25,1,0
10,日本本土,02.07,0,25,1,0
11,日本本土,02.08,0,25,1,0
12,日本本土,02.09,0,25,1,0
13,日本本土,02.10,1,26,1,0
14,日本本土,02.11,0,26,1,0
15,日本本土,02.12,3,29,1,0
16,日本本土,02.13,5,34,1,1
17,日本本土,02.14,1,35,1,1
18,日本本土,02.15,14,49,1,1
19,日本本土,02.16,0,56,1,1
20,日本本土,02.17,0,65,1,1
21,日本本土,02.18,9,74,1,1
22,日本本土,02.19,0,84,1,1
23,日本本土,02.20,9,93,1,3
24,日本本土,02.21,10,103,1,1
25,日本本土,02.22,14,122,1,1
26,日本本土,02.23,14,136,1,1
27,日本本土,02.24,23,159,1,1
28,日本本土,02.25,3,162,1,1
29,日本本土,02.26,7,178,1,1
30,日本本土,02.27,29,207,1,4
31,日本本土,02.28,22,233,32,5
32,日本本土,02.29,8,241,32,5
33,日本本土,03.01,14,256,32,6
34,日本本土,03.02,18,274,32,6
35,日本本土,03.03,19,293,32,6
36,日本本土,03.04,33,326,32,6
37,日本本土,03.05,5,331,32,6
38,日本本土,03.06,85,416,32,6
39,日本本土,03.07,25,441,32,7
40,日本本土,03.08,33,494,32,7
41,日本本土,03.09,20,514,80,9
42,日本本土,03.10,67,581,101,12
43,日本本土,03.11,47,628,102,14
44,日本本土,03.12,62,690,118,17
45,日本本土,03.13,35,725,135,21
46,日本本土,03.14,23,748,135,21
47,日本本土,03.15,70,818,135,24
48,日本本土,03.16,48,835,135,28
49,日本本土,03.17,45,880,135,29
50,日本本土,03.18,84,919,135,31
51,日本本土,03.19,73,956,135,33
52,日本本土,03.20,97,1016,135,35
53,日本本土,03.21,135,1054,135,36
54,日本本土,03.22,47,1101,232,41
55,日本本土,03.23,39,1140,285,42
56,日本本土,03.24,69,1209,285,42
57,日本本土,03.25,98,1307,310,45
58,日本本土,03.26,92,1399,359,47
59,日本本土,03.27,117,1516,372,49
60,日本本土,03.28,208,1724,372,52
61,日本本土,03.29,2,1726,424,52
62,日本本土,03.30,140,1866,424,54
63,日本本土,03.31,87,1953,424,56
64,日本本土,04.01,225,2178,472,57
65,日本本土,04.02,206,2384,472,57
66,日本本土,04.03,233,2617,514,63
67,日本本土,04.04,318,2935,514,69
68,日本本土,04.05,204,3139,514,77
69,日本本土,04.06,515,3654,575,85
70,日本本土,04.07,252,3906,592,92
71,日本本土,04.08,351,4257,622,93
72,日本本土,04.09,410,4667,632,94
73,日本本土,04.10,863,5530,685,99
74,日本本土,04.11,475,6005,762,99
75,日本本土,04.12,743,6748,762,108
76,日本本土,04.13,622,7370,784,123
77,日本本土,04.14,275,7645,799,143
78,日本本土,04.15,455,8100,853,146
79,日本本土,04.16,526,8626,901,178
80,日本本土,04.17,605,9231,935,190
81,日本本土,04.18,556,9787,935,190
82,日本本土,04.19,509,10296,1069,222
83,日本本土,04.20,501,10797,1159,236
84,日本本土,04.21,338,11135,1239,263
85,日本本土,04.22,377,11512,1356,281
86,日本本土,04.23,438,11950,1424,299
87,日本本土,04.24,418,12368,1494,328
88,日本本土,04.25,461,12829,1530,345
89,日本本土,04.26,402,13231,1656,360
90,日本本土,04.27,210,13441,1809,372
91,日本本土,04.28,173,13614,1899,385
92,日本本土,04.29,122,13736,1899,394
93,日本本土,04.30,229,13965,2368,425
94,日本本土,05.01,123,14088,2460,430
95,日本本土,05.02,217,14305,2975,455
96,日本本土,05.03,0,14305,2975,455
97,日本本土,05.04,572,14877,3981,487
98,日本本土,05.05,201,15078,4156,536
99,日本本土,05.06,175,15253,4496,556
100,日本本土,05.07,0,15253,4496,556
101,日本本土,05.08,224,15477,4918,577
102,日本本土,05.09,98,15575,5146,590
103,日本本土,05.10,88,15663,5906,607
104,日本本土,05.11,114,15777,8127,624
105,日本本土,05.12,70,15847,8293,633
106,日本本土,05.13,121,15968,8531,657
107,日本本土,05.14,81,16049,8920,678
108,日本本土,05.15,71,16120,9868,697
109,日本本土,05.16,83,16203,10338,713
110,日本本土,05.17,34,16237,10338,725
111,日本本土,05.18,48,16285,11153,744
112,日本本土,05.19,20,16305,11564,749
113,日本本土,05.20,62,16367,11564,768
114,日本本土,05.21,18,16385,12286,771
115,日本本土,05.22,39,16424,12672,777
116,日本本土,05.23,89,16513,13005,796
117,日本本土,05.24,23,16536,13244,808
118,日本本土,05.25,14,16550,13413,820
119,日本本土,05.26,31,16581,13612,830
120,日本本土,05.27,42,16623,13810,846
121,日本本土,05.28,28,16651,13973,858
122,日本本土,05.29,22,16673,14170,886
