,country,date,confirm_add,confirm,heal,dead
0,法国,01.28,0,3,0,0
1,法国,01.29,1,4,0,0
2,法国,01.30,2,6,0,0
3,法国,01.31,0,6,0,0
4,法国,02.01,0,6,0,0
5,法国,02.02,0,6,0,0
6,法国,02.03,0,6,0,0
7,法国,02.04,0,6,0,0
8,法国,02.05,0,6,0,0
9,法国,02.06,0,6,0,0
10,法国,02.07,0,6,0,0
11,法国,02.08,5,11,0,0
12,法国,02.09,0,11,0,0
13,法国,02.10,0,11,0,0
14,法国,02.11,0,11,0,0
15,法国,02.12,0,11,0,0
16,法国,02.13,0,11,0,0
17,法国,02.14,0,11,0,0
18,法国,02.15,0,11,1,1
19,法国,02.16,1,12,4,1
20,法国,02.17,0,12,4,1
21,法国,02.18,0,12,4,1
22,法国,02.19,0,12,4,1
23,法国,02.20,0,12,4,1
24,法国,02.21,0,12,4,1
25,法国,02.22,0,12,4,1
26,法国,02.23,0,12,4,1
27,法国,02.24,0,12,4,1
28,法国,02.25,0,12,11,1
29,法国,02.26,5,17,11,2
30,法国,02.27,1,18,11,2
31,法国,02.28,23,41,12,2
32,法国,02.29,16,73,12,2
33,法国,03.01,27,100,12,2
34,法国,03.02,30,130,12,2
35,法国,03.03,74,204,12,3
36,法国,03.04,55,257,12,4
37,法国,03.05,120,377,12,6
38,法国,03.06,46,423,12,9
39,法国,03.07,293,716,12,11
40,法国,03.08,233,949,12,16
41,法国,03.09,260,1209,12,21
42,法国,03.10,465,1606,20,30
43,法国,03.11,282,1888,21,33
44,法国,03.12,497,2370,26,48
45,法国,03.13,519,2889,28,61
46,法国,03.14,778,3667,28,79
47,法国,03.15,839,4500,28,91
48,法国,03.16,900,5400,28,127
49,法国,03.17,1233,6633,28,148
50,法国,03.18,1097,7730,602,175
51,法国,03.19,1404,9134,602,264
52,法国,03.20,1861,10995,1300,372
53,法国,03.21,1617,12612,1587,450
54,法国,03.22,1847,14459,1587,562
55,法国,03.23,2221,16680,2200,674
56,法国,03.24,3176,19856,2200,860
57,法国,03.25,2444,22300,3281,1100
58,法国,03.26,2933,25233,3900,1331
59,法国,03.27,3922,29155,3900,1696
60,法国,03.28,4259,33414,5700,1995
61,法国,03.29,4691,38105,5724,2317
62,法国,03.30,2646,40751,7238,2612
63,法国,03.31,4481,45232,7991,3032
64,法国,04.01,7604,52836,9522,3532
65,法国,04.02,4971,57807,11055,4043
66,法国,04.03,2122,59929,12548,5398
67,法国,04.04,23102,83031,14138,6521
68,法国,04.05,7832,90863,15574,7574
69,法国,04.06,2917,93780,16354,8093
70,法国,04.07,5204,98984,17429,8926
71,法国,04.08,11086,110070,19523,10343
72,法国,04.09,2880,112950,21254,10869
73,法国,04.10,5840,118790,23469,12228
74,法国,04.11,7141,125931,25195,13215
75,法国,04.12,4799,130730,26674,13851
76,法国,04.13,2955,133685,27469,14412
77,法国,04.14,4202,137887,28011,14986
78,法国,04.15,5416,143303,29123,15729
79,法国,04.16,4560,147863,31470,17188
80,法国,04.17,106,147969,33398,17942
81,法国,04.18,1177,149146,35018,18703
82,法国,04.19,3832,152978,36588,19349
83,法国,04.20,1120,154098,37188,19744
84,法国,04.21,2397,156495,38046,20294
85,法国,04.22,2820,159315,39850,20829
86,法国,04.23,-2180,157135,41331,21373
87,法国,04.24,2360,159495,42792,21889
88,法国,04.25,457,159952,44271,22279
89,法国,04.26,1713,161665,45372,22648
90,法国,04.27,555,162220,45683,22890
91,法国,04.28,3816,166036,46394,23327
92,法国,04.29,3017,169053,47775,23694
93,法国,04.30,-2425,166628,49132,24121
94,法国,05.01,673,167301,50381,24410
95,法国,05.02,4,167305,50212,24597
96,法国,05.03,1212,168517,50663,24763
97,法国,05.04,408,168925,50885,24900
98,法国,05.05,658,169583,51476,25204
99,法国,05.06,1111,170694,52859,25538
100,法国,05.07,3530,174224,54081,25812
101,法国,05.08,694,174918,55191,25990
102,法国,05.09,1284,176202,55892,26233
103,法国,05.10,580,176782,56148,26313
104,法国,05.11,312,177094,56328,26383
105,法国,05.12,453,177547,56835,26646
106,法国,05.13,802,178349,57898,26994
107,法国,05.14,-165,178184,58786,27077
108,法国,05.15,810,178994,59719,27428
109,法国,05.16,636,179630,60562,27532
110,法国,05.17,0,179630,60562,27532
111,法国,05.18,63,179693,61327,28111
112,法国,05.19,358,180051,61843,28242
113,法国,05.20,883,180934,62681,28025
114,法国,05.21,766,181700,63472,28135
115,法国,05.22,251,181951,63976,28218
116,法国,05.23,67,182018,63986,28218
117,法国,05.24,18,182036,63988,28218
118,法国,05.25,673,182709,64735,28370
119,法国,05.26,358,183067,65317,28460
120,法国,05.27,-220,182847,65997,28533
121,法国,05.28,191,183038,66702,28599
122,法国,05.29,3326,186364,67309,28665
