,country,date,confirm_add,confirm,heal,dead
0,美国,01.28,0,5,0,0
1,美国,01.29,0,5,0,0
2,美国,01.30,1,6,0,0
3,美国,01.31,0,6,0,0
4,美国,02.01,1,7,0,0
5,美国,02.02,1,8,0,0
6,美国,02.03,3,11,1,0
7,美国,02.04,0,11,1,0
8,美国,02.05,0,11,1,0
9,美国,02.06,1,12,1,0
10,美国,02.07,0,12,1,0
11,美国,02.08,0,12,1,0
12,美国,02.09,0,12,1,0
13,美国,02.10,0,12,1,0
14,美国,02.11,1,13,1,0
15,美国,02.12,0,13,3,0
16,美国,02.13,1,14,3,0
17,美国,02.14,1,15,3,0
18,美国,02.15,0,15,3,0
19,美国,02.16,0,15,3,0
20,美国,02.17,0,15,3,0
21,美国,02.18,0,15,3,0
22,美国,02.19,0,15,3,0
23,美国,02.20,0,15,3,0
24,美国,02.21,0,15,3,0
25,美国,02.22,19,34,3,0
26,美国,02.23,0,34,3,0
27,美国,02.24,1,35,3,0
28,美国,02.25,18,53,3,0
29,美国,02.26,4,57,3,0
30,美国,02.27,3,60,3,0
31,美国,02.28,0,60,3,0
32,美国,02.29,4,64,3,0
33,美国,03.01,9,69,3,1
34,美国,03.02,20,89,3,2
35,美国,03.03,16,105,3,6
36,美国,03.04,21,126,3,9
37,美国,03.05,35,161,8,11
38,美国,03.06,73,234,8,14
39,美国,03.07,103,337,10,17
40,美国,03.08,118,455,10,19
41,美国,03.09,127,582,10,22
42,美国,03.10,173,755,10,26
43,美国,03.11,297,1052,15,31
44,美国,03.12,269,1329,15,38
45,美国,03.13,551,1880,31,41
46,美国,03.14,356,2236,31,49
47,美国,03.15,697,2943,48,60
48,美国,03.16,831,3774,73,69
49,美国,03.17,913,4687,74,93
50,美国,03.18,1835,6522,106,116
51,美国,03.19,3737,10259,106,152
52,美国,03.20,4106,14365,125,212
53,美国,03.21,5811,20176,147,277
54,美国,03.22,6680,26856,178,346
55,美国,03.23,8368,35224,178,471
56,美国,03.24,11219,46443,314,586
57,美国,03.25,8799,55242,354,801
58,美国,03.26,13981,69223,619,1054
59,美国,03.27,16820,86043,753,1304
60,美国,03.28,18794,104839,869,1716
61,美国,03.29,19837,124676,1095,2196
62,美国,03.30,17954,143071,4856,2513
63,美国,03.31,22803,165874,5995,3178
64,美国,04.01,24215,190089,7141,4102
65,美国,04.02,27174,217263,8710,5151
66,美国,04.03,28395,245658,9311,6069
67,美国,04.04,32910,278568,9920,7163
68,美国,04.05,33913,312481,15021,8503
69,美国,04.06,25490,337971,17582,9654
70,美国,04.07,31098,369069,20003,11018
71,美国,04.08,30910,399979,22539,12912
72,美国,04.09,32600,432579,24213,14830
73,美国,04.10,34605,467184,26522,16736
74,美国,04.11,34517,501701,29192,18781
75,美国,04.12,29129,530830,32314,20646
76,美国,04.13,28169,558999,42009,22154
77,美国,04.14,24221,583220,44319,23654
78,美国,04.15,26775,609995,50045,26069
79,美国,04.16,29567,640014,52772,31002
80,美国,04.17,32165,672293,56243,33325
81,美国,04.18,28866,706856,60523,37087
82,美国,04.19,26070,735366,66854,39095
83,美国,04.20,28088,760570,71011,40702
84,美国,04.21,25985,788920,73533,42458
85,美国,04.22,29973,826248,75682,45153
86,美国,04.23,31900,843981,77064,46859
87,美国,04.24,38958,871285,80937,50066
88,美国,04.25,35419,907096,99129,52063
89,美国,04.26,26509,941628,105823,54024
90,美国,04.27,23196,967585,107060,54931
91,美国,04.28,25409,990135,111587,56475
92,美国,04.29,28429,1015289,115955,58529
93,美国,04.30,30829,1043595,124294,61187
94,美国,05.01,36007,1095023,153947,63019
95,美国,05.02,29744,1131030,161563,65753
96,美国,05.03,27348,1160774,173318,67444
97,美国,05.04,24713,1188122,178263,68598
98,美国,05.05,24798,1212835,188027,69921
99,美国,05.06,25459,1237633,200626,72271
100,美国,05.07,29531,1263092,212981,74799
101,美国,05.08,29162,1292623,217250,76928
102,美国,05.09,25524,1321785,223603,78615
103,美国,05.10,20329,1347309,252108,80037
104,美国,05.11,18196,1367638,256336,80787
105,美国,05.12,21562,1385834,262225,81795
106,美国,05.13,21712,1408636,296746,83425
107,美国,05.14,27246,1430348,310259,85197
108,美国,05.15,26692,1457593,318027,86912
109,美国,05.16,23488,1484285,327751,88507
110,美国,05.17,19891,1507773,339232,90113
111,美国,05.18,22630,1527664,346389,90978
112,美国,05.19,20289,1550294,356383,91981
113,美国,05.20,21408,1570583,361180,93533
114,美国,05.21,28179,1592723,370076,94936
115,美国,05.22,24197,1620897,382169,96354
116,美国,05.23,21929,1644979,433597,97647
117,美国,05.24,19608,1666828,446914,98683
118,美国,05.25,19790,1686436,451702,99300
119,美国,05.26,19049,1706226,464670,99805
120,美国,05.27,20546,1725275,479969,100572
121,美国,05.28,22658,1745803,490130,102107
122,美国,05.29,22658,1768461,498725,103330
