,country,date,confirm_add,confirm,heal,dead
0,英国,01.31,0,2,0,0
1,英国,02.01,0,2,0,0
2,英国,02.02,0,2,0,0
3,英国,02.03,0,2,0,0
4,英国,02.04,0,2,0,0
5,英国,02.05,0,2,0,0
6,英国,02.06,1,3,0,0
7,英国,02.07,0,3,0,0
8,英国,02.08,0,3,0,0
9,英国,02.09,0,3,0,0
10,英国,02.10,5,8,0,0
11,英国,02.11,0,8,0,0
12,英国,02.12,0,8,0,0
13,英国,02.13,1,9,0,0
14,英国,02.14,0,9,0,0
15,英国,02.15,0,9,0,0
16,英国,02.16,0,9,8,0
17,英国,02.17,0,9,8,0
18,英国,02.18,0,9,8,0
19,英国,02.19,0,9,8,0
20,英国,02.20,0,9,8,0
21,英国,02.21,0,9,8,0
22,英国,02.22,0,9,8,0
23,英国,02.23,0,9,8,0
24,英国,02.24,4,13,8,0
25,英国,02.25,0,13,8,0
26,英国,02.26,0,13,8,0
27,英国,02.27,2,15,8,0
28,英国,02.28,4,19,8,0
29,英国,02.29,3,23,8,0
30,英国,03.01,12,35,8,0
31,英国,03.02,5,40,8,0
32,英国,03.03,11,51,8,0
33,英国,03.04,34,85,8,0
34,英国,03.05,5,90,8,0
35,英国,03.06,73,163,8,2
36,英国,03.07,0,163,8,2
37,英国,03.08,46,319,18,3
38,英国,03.09,55,373,18,6
39,英国,03.10,83,456,18,6
40,英国,03.11,134,590,18,10
41,英国,03.12,208,798,18,10
42,英国,03.13,342,1140,18,21
43,英国,03.14,342,1140,18,21
44,英国,03.15,403,1543,18,35
45,英国,03.16,403,1543,18,35
46,英国,03.17,676,2626,52,71
47,英国,03.18,676,2626,65,104
48,英国,03.19,643,3269,79,144
49,英国,03.20,714,3983,79,177
50,英国,03.21,1044,5027,98,234
51,英国,03.22,656,5683,98,281
52,英国,03.23,967,6650,98,335
53,英国,03.24,1427,8077,98,422
54,英国,03.25,1452,9529,140,465
55,英国,03.26,2129,11658,140,578
56,英国,03.27,2921,14579,140,759
57,英国,03.28,2510,17089,151,1019
58,英国,03.29,2433,19522,151,1228
59,英国,03.30,2619,22141,151,1408
60,英国,03.31,331,22472,179,1793
61,英国,04.01,7370,29842,179,2356
62,英国,04.02,4281,34123,191,2926
63,英国,04.03,4558,38681,205,3611
64,英国,04.04,3752,42433,209,4320
65,英国,04.05,5955,48388,215,4941
66,英国,04.06,63,48451,229,4943
67,英国,04.07,3851,52302,312,5385
68,英国,04.08,3655,55957,332,6171
69,英国,04.09,5540,61497,353,7111
70,英国,04.10,4375,65872,367,7993
71,英国,04.11,13969,79841,599,9891
72,英国,04.12,5332,85173,625,10629
73,英国,04.13,4381,89554,303,11346
74,英国,04.14,5269,94823,323,12125
75,英国,04.15,4632,99455,365,12892
76,英国,04.16,4678,104133,370,13755
77,英国,04.17,4617,104145,375,13759
78,英国,04.18,11154,115299,414,15497
79,英国,04.19,5869,121168,427,16095
80,英国,04.20,6,121174,444,16095
81,英国,04.21,4682,125856,603,16550
82,英国,04.22,8779,134635,644,18141
83,英国,04.23,4608,139243,701,18790
84,英国,04.24,5389,144632,712,19559
85,英国,04.25,4922,149554,737,20380
86,英国,04.26,15,149569,778,20381
87,英国,04.27,4469,154038,781,20795
88,英国,04.28,4315,158353,809,21158
89,英国,04.29,3997,162350,813,21745
90,英国,04.30,4093,166443,857,26166
91,英国,05.01,6038,172481,861,26842
92,英国,05.02,6208,178689,892,27583
93,英国,05.03,4811,183500,896,28205
94,英国,05.04,4342,187842,902,28520
95,英国,05.05,3990,191832,910,28809
96,英国,05.06,4412,196244,926,29501
97,英国,05.07,6115,202359,957,30150
98,英国,05.08,5618,207977,987,30689
99,英国,05.09,8548,216525,1001,31662
100,英国,05.10,1,216526,1002,31662
101,英国,05.11,7801,224327,1007,32140
102,英国,05.12,3408,227735,1015,32768
103,英国,05.13,3249,230984,1025,33263
104,英国,05.14,3447,234431,1032,33692
105,英国,05.15,3570,238001,1045,34077
106,英国,05.16,3453,241454,1049,34546
107,英国,05.17,7,241461,1058,34546
108,英国,05.18,3534,244995,1058,34716
109,英国,05.19,2714,247709,1090,34876
110,英国,05.20,2432,250141,1101,35422
111,英国,05.21,2093,252234,1116,36124
112,英国,05.22,12,252246,1134,36124
113,英国,05.23,3298,255544,1142,36475
114,英国,05.24,2967,258511,1142,36757
115,英国,05.25,2405,260916,1151,36875
116,英国,05.26,5674,266590,1161,37130
117,英国,05.27,2025,268615,1162,37542
118,英国,05.28,5,268620,1166,37542
119,英国,05.29,1888,270508,1167,37919
