,country,date,confirm_add,confirm,heal,dead
0,西班牙,02.01,0,2,0,0
1,西班牙,02.02,0,2,0,0
2,西班牙,02.03,0,2,0,0
3,西班牙,02.04,0,2,0,0
4,西班牙,02.05,0,2,0,0
5,西班牙,02.06,0,2,0,0
6,西班牙,02.07,0,2,0,0
7,西班牙,02.08,0,2,0,0
8,西班牙,02.09,0,2,0,0
9,西班牙,02.10,0,2,0,0
10,西班牙,02.11,0,2,0,0
11,西班牙,02.12,0,2,0,0
12,西班牙,02.13,0,2,0,0
13,西班牙,02.14,0,2,0,0
14,西班牙,02.15,0,2,0,0
15,西班牙,02.16,0,2,0,0
16,西班牙,02.17,0,2,0,0
17,西班牙,02.18,0,2,0,0
18,西班牙,02.19,0,2,0,0
19,西班牙,02.20,0,2,0,0
20,西班牙,02.21,0,2,0,0
21,西班牙,02.22,0,2,0,0
22,西班牙,02.23,0,2,0,0
23,西班牙,02.24,0,2,0,0
24,西班牙,02.25,1,3,2,0
25,西班牙,02.26,6,9,2,0
26,西班牙,02.27,4,13,2,0
27,西班牙,02.28,12,25,2,0
28,西班牙,02.29,16,41,2,0
29,西班牙,03.01,33,74,2,0
30,西班牙,03.02,0,74,2,0
31,西班牙,03.03,76,150,3,0
32,西班牙,03.04,29,179,3,1
33,西班牙,03.05,69,248,3,2
34,西班牙,03.06,166,345,3,5
35,西班牙,03.07,46,441,30,8
36,西班牙,03.08,97,613,30,17
37,西班牙,03.09,433,1046,32,26
38,西班牙,03.10,602,1648,32,35
39,西班牙,03.11,526,2174,183,49
40,西班牙,03.12,794,2968,189,84
41,西班牙,03.13,1241,4209,189,120
42,西班牙,03.14,1544,5753,193,136
43,西班牙,03.15,2000,7753,571,195
44,西班牙,03.16,3438,9191,571,309
45,西班牙,03.17,3425,11178,571,491
46,西班牙,03.18,2538,13716,1081,558
47,西班牙,03.19,3431,17147,1081,767
48,西班牙,03.20,0,17147,1081,767
49,西班牙,03.21,8227,25374,2125,1375
50,西班牙,03.22,3646,28572,2575,1720
51,西班牙,03.23,4517,33089,2575,2182
52,西班牙,03.24,6584,39673,3355,2696
53,西班牙,03.25,7937,47610,3355,3434
54,西班牙,03.26,8578,56188,5367,4089
55,西班牙,03.27,7871,64059,7015,4858
56,西班牙,03.28,8189,72248,9357,5690
57,西班牙,03.29,6549,78797,12285,6528
58,西班牙,03.30,6398,85195,14709,7340
59,西班牙,03.31,9222,94417,19259,8269
60,西班牙,04.01,7719,102136,22647,9053
61,西班牙,04.02,8102,110238,26743,10003
62,西班牙,04.03,7472,117710,30513,10935
63,西班牙,04.04,7026,124736,34219,11744
64,西班牙,04.05,6023,130759,38080,12418
65,西班牙,04.06,4273,135032,40437,13055
66,西班牙,04.07,5478,140510,43208,13798
67,西班牙,04.08,6180,146690,48021,14555
68,西班牙,04.09,5756,152446,52165,15238
69,西班牙,04.10,4576,157022,55668,15843
70,西班牙,04.11,4830,161852,59109,16353
71,西班牙,04.12,4167,166019,62391,16972
72,西班牙,04.13,3477,169496,64727,17489
73,西班牙,04.14,3045,172541,67504,18056
74,西班牙,04.15,5092,177633,70853,18579
75,西班牙,04.16,5183,182816,74797,19130
76,西班牙,04.17,2132,184948,74797,19315
77,西班牙,04.18,6778,191726,74797,20043
78,西班牙,04.19,4218,195944,77357,20453
79,西班牙,04.20,4266,200210,80587,20852
80,西班牙,04.21,3968,204178,82514,21282
81,西班牙,04.22,4211,208389,85915,21717
82,西班牙,04.23,4635,213024,89250,22157
83,西班牙,04.24,6740,219764,92355,22524
84,西班牙,04.25,3995,223759,95708,22902
85,西班牙,04.26,0,223759,95708,22902
86,西班牙,04.27,5663,229422,120832,23521
87,西班牙,04.28,2706,232128,123903,23822
88,西班牙,04.29,4771,236899,132929,24275
89,西班牙,04.30,2740,239639,137984,24543
90,西班牙,05.01,2740,239639,137984,24824
91,西班牙,05.02,3648,245567,146233,25100
92,西班牙,05.03,3648,245567,146233,25100
93,西班牙,05.04,1533,248301,151633,25428
94,西班牙,05.05,1179,250561,154718,25613
95,西班牙,05.06,2260,250561,154718,25613
96,西班牙,05.07,3121,253682,159359,25857
97,西班牙,05.08,3173,256855,163919,26070
98,西班牙,05.09,3262,260117,168408,26299
99,西班牙,05.10,2666,262783,173157,26478
100,西班牙,05.11,1880,264663,176439,26621
101,西班牙,05.12,3480,268143,177846,26744
102,西班牙,05.13,1377,269520,180470,26920
103,西班牙,05.14,1575,271095,183227,27104
104,西班牙,05.15,1551,272646,186480,27321
105,西班牙,05.16,1721,274367,188967,27459
106,西班牙,05.17,2138,276505,192253,27563
107,西班牙,05.18,1214,277719,195945,27650
108,西班牙,05.19,469,278188,196958,27709
109,西班牙,05.20,615,278803,196958,27778
110,西班牙,05.21,721,279524,196958,27888
111,西班牙,05.22,593,280117,196958,27940
112,西班牙,05.23,1787,281904,196958,28628
113,西班牙,05.24,466,282370,196958,28678
114,西班牙,05.25,482,282852,196958,28752
115,西班牙,05.26,482,282852,196958,28752
116,西班牙,05.27,859,283339,196958,27117
117,西班牙,05.28,510,283849,196958,27118
118,西班牙,05.29,1137,284986,196958,27119
