,country,date,confirm_add,confirm,heal,dead
0,韩国,01.28,0,4,0,0
1,韩国,01.29,0,4,0,0
2,韩国,01.30,2,6,0,0
3,韩国,01.31,5,11,0,0
4,韩国,02.01,1,12,0,0
5,韩国,02.02,3,15,0,0
6,韩国,02.03,0,15,0,0
7,韩国,02.04,1,16,0,0
8,韩国,02.05,3,19,1,0
9,韩国,02.06,4,23,1,0
10,韩国,02.07,1,24,2,0
11,韩国,02.08,0,24,2,0
12,韩国,02.09,3,27,3,0
13,韩国,02.10,0,27,3,0
14,韩国,02.11,1,28,9,0
15,韩国,02.12,0,28,9,0
16,韩国,02.13,0,28,9,0
17,韩国,02.14,0,28,9,0
18,韩国,02.15,0,28,9,0
19,韩国,02.16,1,29,9,0
20,韩国,02.17,1,30,10,0
21,韩国,02.18,1,31,10,0
22,韩国,02.19,20,51,12,0
23,韩国,02.20,53,104,12,1
24,韩国,02.21,104,208,12,2
25,韩国,02.22,87,433,12,3
26,韩国,02.23,123,602,12,6
27,韩国,02.24,231,833,12,8
28,韩国,02.25,84,977,22,11
29,韩国,02.26,284,1261,24,12
30,韩国,02.27,505,1766,24,13
31,韩国,02.28,571,2337,24,16
32,韩国,02.29,813,3150,28,17
33,韩国,03.01,586,3736,30,20
34,韩国,03.02,599,4335,31,26
35,韩国,03.03,851,5186,31,31
36,韩国,03.04,809,5621,31,34
37,韩国,03.05,760,6088,88,42
38,韩国,03.06,518,6284,108,43
39,韩国,03.07,483,6767,118,48
40,韩国,03.08,179,7313,130,50
41,韩国,03.09,344,7478,166,53
42,韩国,03.10,131,7513,247,80
43,韩国,03.11,242,7755,288,65
44,韩国,03.12,114,7869,333,66
45,韩国,03.13,110,7979,510,72
46,韩国,03.14,107,8086,714,72
47,韩国,03.15,76,8162,834,75
48,韩国,03.16,74,8236,1137,75
49,韩国,03.17,84,8320,1401,83
50,韩国,03.18,93,8413,1540,91
51,韩国,03.19,152,8565,1947,92
52,韩国,03.20,87,8652,2233,100
53,韩国,03.21,147,8799,2612,102
54,韩国,03.22,98,8897,2909,104
55,韩国,03.23,64,8961,3166,111
56,韩国,03.24,76,9037,3507,120
57,韩国,03.25,100,9137,3730,126
58,韩国,03.26,104,9241,4144,131
59,韩国,03.27,91,9332,4528,139
60,韩国,03.28,146,9478,4811,144
61,韩国,03.29,105,9583,5033,152
62,韩国,03.30,78,9661,5228,158
63,韩国,03.31,125,9786,5408,162
64,韩国,04.01,101,9887,5567,165
65,韩国,04.02,89,9976,5828,169
66,韩国,04.03,86,10062,6021,174
67,韩国,04.04,94,10156,6325,177
68,韩国,04.05,81,10237,6463,183
69,韩国,04.06,47,10284,6598,186
70,韩国,04.07,47,10331,6694,192
71,韩国,04.08,53,10384,6776,200
72,韩国,04.09,39,10423,6973,204
73,韩国,04.10,27,10450,7117,208
74,韩国,04.11,30,10480,7243,211
75,韩国,04.12,32,10512,7368,214
76,韩国,04.13,25,10537,7447,217
77,韩国,04.14,27,10564,7534,222
78,韩国,04.15,27,10591,7616,225
79,韩国,04.16,22,10613,7757,229
80,韩国,04.17,22,10635,7829,230
81,韩国,04.18,18,10653,7937,232
82,韩国,04.19,8,10661,8042,234
83,韩国,04.20,13,10674,8114,236
84,韩国,04.21,9,10683,8213,237
85,韩国,04.22,11,10694,8277,238
86,韩国,04.23,8,10702,8411,240
87,韩国,04.24,6,10708,8501,240
88,韩国,04.25,10,10718,8635,240
89,韩国,04.26,10,10728,8717,242
90,韩国,04.27,10,10738,8764,243
91,韩国,04.28,14,10752,8854,244
92,韩国,04.29,9,10761,8922,246
93,韩国,04.30,4,10765,9059,247
94,韩国,05.01,9,10774,9072,248
95,韩国,05.02,6,10780,9123,250
96,韩国,05.03,0,10780,9123,250
97,韩国,05.04,21,10801,9217,252
98,韩国,05.05,3,10804,9283,254
99,韩国,05.06,2,10806,9333,255
100,韩国,05.07,4,10810,9419,256
101,韩国,05.08,12,10822,9484,256
102,韩国,05.09,18,10840,9568,256
103,韩国,05.10,34,10874,9610,256
104,韩国,05.11,35,10909,9632,256
105,韩国,05.12,27,10936,9670,258
106,韩国,05.13,26,10962,9695,259
107,韩国,05.14,29,10991,9762,260
108,韩国,05.15,27,11018,9821,260
109,韩国,05.16,19,11037,9851,262
